***** Hello, NAFE13388! *****
logical channel: 00,
357369.18,205706.36
760594.61,441060.66
980729.46,655500.29
945054.29,825952.29
662901.4,941596.63
227586.03,993829.97
-276469.59,984073.88
-711236,910573.01
-958657.86,781826.38
-969895.72,596898.79
-740645.53,381104.35
-318620.8,135693.55
192644.6,-122380.26
651252.27,-371969.94
933347.34,-588624.48
990541.58,-765414.24
812738.54,-899640.32
452739,-977329.02
-55295.83,-997813.34
-522562.27,-954562.43
-876743.79,-845909.71
-997427.11,-694170
-892609.95,-504009.72
-562745.93,-271110.53
-122064.95,-36669.37
397126.67,226788.52
808593.63,475813.15
989280.34,675639.51
928065.18,839474.8
622856.02,949977.64
158105.49,996354.22
-352499.49,976721.05
-753799.08,897266.27
-983174.44,747007.13
-938891.77,552361.61
-648335.22,321157.57
-171660.78,60632.23
299897.79,-177416.8
723924.64,-418142.08
969489.22,-636577.01
959541.2,-812987.09
696458.82,-935072.3
284219.98,-992224.81
-221790.67,-989766.12
-685536.27,-918900.37
-954204.2,-788056.25
-968785.88,-596880.91
-725668.67,-372543.93
-300408.6,-127601.03
218726.99,134307.15
685609.58,391864.18
954243.54,612705.35
981652.14,782786.61
726642.01,926069.62
325193.41,987942.81
-190565.59,990393.76
-627898.57,932145.12
-931652.78,807894.47
-991058.35,644274.35
-812190.77,433394.31
-403969.88,180762.41
105823.28,-79081.06
582738.52,-331155.06
907250.05,-560846.33
991637.11,-762308.84
796818.14,-905433.89
393615.96,-983613.13
-104577.54,-996198.06
-580989.72,-943573.71
-907264.95,-827186.7
-993472.93,-654405.36
-831908.58,-450576.54
-455177.43,-210229.16
37386.42,43473.24
529074.07,298710.47
894805.19,547276.14
996857.88,740377.31
842925.91,886319.28
472697.02,973407.63
-26062.73,997114.78
-529652.83,952027.44
-880988.24,842336.42
-997633.34,690976.38
-877782.11,488618.02
-533021.09,252518.06
-38921.83,-6596.45
425909.76,-243642.93
812146.66,-479955.08
992309.45,-686247.94
929946.9,-839244.72
653379.56,-945058.47
235244.04,-994893.91
-328379.27,-980745.55
-740134.12,-902876.26
-966356.99,-773847.1
-964470.51,-589648.49
-704595.45,-358449.82
-252077.58,-102655.29
330997.11,191933.51
758958.46,439926.39
983692.41,661907.79
929890.87,838152.17
595141.05,954833.03
125638.84,997126.7
-381451.25,973419.55
-787480.47,885254.14
-987774.73,737106.2
-938665.87,552043.32
-661972.76,329679.25
-244623.42,97262.86
296419.86,-175671.58
724076.03,-418230.3
968878.27,-635595.92
958617.93,-813997.98
722156.76,-928407.31
279117.23,-992495.42
-228946.81,-989258.29
-682480.34,-919739.01
-940634.01,-801395.18
-986122.49,-631363.39
-802341.1,-427721.74
-407456.16,-184255.84
95289.95,72429.78
573241.11,323995.35
886169.08,539233.68
997243.52,737484.69
848505.5,883891.58
484871.27,971807.84
-33288,996913.91
-505337.72,955672.26
-865721.11,850644.11
-997641.68,689737.2
-872222.78,483579.64
-525167.58,247986.91
-38948.66,-6632.21
443987.85,-253527.76
810622.57,-478832.72
988128.19,-673868.06
903884.77,-856820.34
576400.76,-959687.23
133889.32,-998364.69
-355147.12,-977922.68
-753924.85,-898410.08
-978748.2,-755813.72
-945811.27,-562620.16
-667911.77,-335115.19
-214138.03,-83466.77
339050.89,196144.58
773308.28,450010.3
984666.94,664088.13
944601.89,826344.49
688517.69,935694.58
233629.35,993591.55
-317029.36,980380.77
-720934.87,907683.97
-974720.72,761333.7
-950789.45,567682.39
-681346.06,342071.06
-237451.2,93542.34
239533.78,-146368.74
675395.13,-386891.96
941188.34,-597841.74
971091.39,-799594.52
733103.16,-925433.04
282777.55,-992270.11
-191039.44,-991806.98
-636223.55,-931456.09
-932115.91,-808670.52
-988599.06,-637703.54
-792050.36,-419898.63
-416206.72,-189018.85
70002.08,59753.66
522310.73,294888.02
879321.1,533034.21
997789.5,730944.87
875518.32,871074.8
510073.3,968416.33
28944.02,997894.41
-473593.47,960756.54
-843802.09,861640.57
-994033.22,717748.4
-917870.4,528002.38
-627493.26,308319.33
-200979.11,75451.73
273273.59,-163794.16
684708.95,-392742.16
943897.96,-601208.81
